1,1,1,1,2,2,2,1,2,2,2,3,10,3,4,6,20,2743,7,2000,2000,110
3,3,3,3,4,4,4,3,4,4,3,4,14,4,6,7,30,2743,9,6000,6000,189
5,5,5,5,6,6,6,5,6,6,4,5,20,5,8,9,44,2743,12,12000,12000,324
8,8,8,8,9,9,9,8,9,9,5,7,28,6,10,12,62,2743,16,20000,20000,558
11,11,11,11,12,12,12,11,12,12,10,11,54,11,20,20,112,2743,30,36000,36000,958
14,14,14,14,15,15,15,14,15,15,15,14,72,13,30,24,142,2743,36,44888,44888,1647
17,17,17,17,18,18,18,17,18,18,20,17,91,15,40,29,177,2743,44,54664,54664,2829
20,20,20,20,21,21,21,20,21,21,25,20,111,18,50,35,217,2743,54,65240,65240,4861
25,25,25,25,27,27,27,25,27,27,30,23,132,21,60,42,262,2743,66,76704,76704,8352
32,32,32,32,40,40,40,32,40,40,0,38,245,41,0,69,499,2743,122,105504,105504,14350
38,38,38,38,48,48,48,38,48,48,0,44,307,47,0,85,622,2743,158,118662,118662,24653
44,44,44,44,61,61,61,44,61,61,0,52,372,54,0,104,775,2743,199,133514,133514,30692
52,52,52,52,73,73,73,52,73,73,0,62,445,62,0,126,961,2743,245,149806,149806,38212
60,60,60,60,87,87,87,60,87,87,0,74,537,71,0,151,1180,2743,296,167792,167792,47574
76,76,76,76,103,103,103,76,103,103,0,112,865,111,0,207,1634,2743,460,225392,225392,59230
86,86,86,86,121,121,121,86,121,121,0,136,1022,125,0,245,1878,2743,579,246978,246978,73742
97,97,97,97,140,140,140,97,140,140,0,163,1188,147,0,288,2172,2743,708,272164,272164,91809
109,109,109,109,157,157,157,109,157,157,0,192,1452,177,0,336,2516,2743,847,300230,300230,114302
122,122,122,122,177,177,177,122,177,177,0,224,1731,215,0,389,2910,5486,996,331896,331896,142306
148,148,148,148,214,214,214,148,214,214,0,300,2223,275,0,501,3454,6486,1242,458616,458616,177171
165,165,165,165,239,239,239,165,239,239,0,333,2564,319,0,560,3867,6919,1396,498730,498730,220578
184,184,184,184,267,267,267,184,267,267,0,367,2917,369,0,625,4299,7385,1555,547292,547292,274620
205,205,205,205,298,298,298,205,298,298,0,404,3294,422,0,695,4758,7901,1726,602190,602190,341902
228,228,228,228,332,332,332,228,332,332,0,442,3687,481,0,771,5236,8450,1902,665536,665536,425668
277,277,277,277,389,389,389,277,389,389,0,632,4572,601,0,1051,5997,10650,2295,969664,969664,529957
310,310,310,310,430,430,430,310,430,430,0,674,4995,672,0,1144,6504,11280,2479,1054733,1054733,659796
347,347,347,347,475,475,475,347,475,475,0,720,5448,755,0,1254,7040,11991,2671,1161525,1161525,821446
388,388,388,388,524,524,524,388,524,524,0,775,5945,844,0,1378,7614,12812,2882,1283523,1283523,1022701
434,434,434,434,577,577,577,434,577,577,0,834,6472,945,0,1519,8217,13714,3101,1427244,1427244,1273262
555,555,555,555,750,750,750,555,750,750,0,1309,8330,1245,0,2219,9434,18994,3769,2217976,2217976,1585212
666,666,666,666,900,900,900,666,900,900,0,1382,8923,1376,0,2410,10087,20116,4004,2422522,2422522,1973589
799,799,799,799,1080,1080,1080,799,1080,1080,0,1469,9582,1537,0,2651,10790,21458,4255,2687893,2687893,2457118
958,958,958,958,1296,1296,1296,958,1296,1296,0,1579,10333,1713,0,2927,11553,23064,4539,2992800,2992800,3452250
1149,1149,1149,1149,1555,1555,1555,1149,1555,1555,0,1703,11150,1919,0,3253,12366,24890,4839,3358532,3358532,4850412
1424,1424,1424,1424,1943,1943,1943,1424,1943,1943,0,3128,15609,2819,0,5353,14556,38618,6041,5572581,5572581,6814829
1637,1637,1637,1637,2234,2234,2234,1637,2234,2234,0,3302,16591,3115,0,5854,15468,41097,6372,6122817,6122817,9574835
1882,1882,1882,1882,2569,2569,2569,1882,2569,2569,0,3526,17738,3501,0,6530,16479,44229,6734,6857557,6857557,13452643
2164,2164,2164,2164,2954,2954,2954,2164,2954,2954,0,3821,19107,3932,0,7311,17599,48047,7156,7702999,7702999,18900964
2488,2488,2488,2488,3397,3397,3397,2488,3397,3397,0,4166,20641,4453,0,8267,18818,52518,7609,8732945,8732945,26555854
2985,2985,2985,2985,4076,4076,4076,2985,4076,4076,0,8441,32680,7603,0,14567,23198,92329,9892,15375092,15375092,37310975
3283,3283,3283,3283,4483,4483,4483,3283,4483,4483,0,8911,33789,8439,0,16153,24636,98123,10410,17008869,17008869,52421920
3611,3611,3611,3611,4931,4931,4931,3611,4931,4931,0,9506,36249,9590,0,18369,26293,107016,10993,19246477,19246477,73652799
3972,3972,3972,3972,5424,5424,5424,3972,5424,5424,0,10314,39310,10898,0,20900,28169,117899,11690,21816192,21816192,103482182
4369,4369,4369,4369,5966,5966,5966,4369,5966,5966,0,11247,42834,12521,0,24061,30264,130993,12452,24989738,24989738,145392466
5242,5242,5242,5242,7159,7159,7159,5242,7159,7159,0,26209,78951,25121,0,46111,39900,250426,17018,46244608,46244608,204276415
