//基本SPデータベース
//NV,SM,MG,AC,AL,MC,TF,KN,PR,WZ,BS,HT,AS,CR,MO,SA,RG,AM,BA,DC,SNV,TK,SG,SL,GS,NJ,MB,DK,DA,RK,WL,RA,AB,NC,GC,LG,SO,MI,WA,SR,GN,SC,ESNV,KG,OB,RB,SU,SE,RE
11,12,16,12,15,13,12,13,18,19,14,14,14,14,14,17,15,14,16,16,11,12,14,19,13,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1
12,14,22,14,20,16,14,16,26,28,18,18,18,19,19,24,20,18,22,22,12,14,19,28,16,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1
13,16,28,16,25,19,16,19,34,37,22,22,22,24,24,31,25,22,28,28,13,16,24,37,19,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,-1,-1
14,18,34,18,30,22,18,22,42,46,26,26,26,28,28,38,30,26,34,34,14,18,28,46,22,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1
15,20,40,20,35,25,20,25,50,55,30,30,30,33,33,45,35,30,40,40,15,20,33,55,25,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,-1,-1
16,22,46,22,40,28,22,28,58,64,34,34,34,38,38,52,40,34,46,46,16,22,38,64,28,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1
17,24,52,24,45,31,24,31,66,73,38,38,38,42,42,59,45,38,52,52,17,24,42,73,31,32,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,-1,-1
18,26,58,26,50,34,26,34,74,82,42,42,42,47,47,66,50,42,58,58,18,26,47,82,34,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,-1,-1
19,28,64,28,55,37,28,37,82,91,46,46,46,52,52,73,55,46,64,64,19,28,52,91,37,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,-1,-1
20,30,70,30,60,40,30,40,90,100,50,50,50,57,57,80,60,50,70,70,20,30,57,100,40,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1
