//傭兵基本データ
//Class,ViewClass,Name,JName,Lv,HP,SP,Range,Atk1,Atk2,Def,Mdef,Str,Agi,Vit,Int,Dex,Luk,Size,Race,Element,Speed,ADelay,aMotion,dMotion,{merc_script}
6017,6017,MER_ARCHER01,弓傭兵１等級,20,256,200,10,170,255,7,5,1,16,5,1,28,8,1,7,20,150,880,432,300,{}
6018,6018,MER_ARCHER02,弓傭兵２等級,30,457,70,10,228,342,11,7,1,18,8,1,40,11,1,7,20,150,880,432,300,{}
6019,6019,MER_ARCHER03,弓傭兵３等級,40,732,93,10,260,390,15,9,3,21,12,4,52,17,1,7,20,150,880,432,300,{}
6020,6020,MER_ARCHER04,弓傭兵４等級,50,1092,116,10,310,465,18,11,5,33,17,6,60,23,1,7,20,150,880,432,300,{}
6021,6021,MER_ARCHER05,弓傭兵５等級,60,2212,280,10,260,540,20,13,5,41,17,12,75,30,1,7,20,150,880,432,300,{}
6022,6022,MER_ARCHER06,弓傭兵６等級,70,3098,353,10,424,636,21,15,11,46,24,22,83,37,1,7,20,150,880,432,300,{}
6023,6023,MER_ARCHER07,弓傭兵７等級,80,4051,415,10,468,702,22,16,14,55,27,26,91,44,1,7,20,150,880,432,300,{}
6024,6024,MER_ARCHER08,弓傭兵８等級,90,5039,469,10,482,723,24,18,19,65,27,27,103,49,1,7,20,150,880,432,300,{}
6025,6025,MER_ARCHER09,弓傭兵９等級,95,5572,499,10,500,750,25,20,20,71,27,28,110,51,1,7,20,150,880,432,300,{}
6026,6026,MER_ARCHER10,弓傭兵10等級,99,7381,642,10,816,1124,49,49,21,83,27,28,123,52,1,7,20,150,880,432,300,{}

6027,6027,MER_LANCER01,槍傭兵１等級,22,2071,100,3,168,252,30,1,27,1,4,1,30,2,1,7,20,150,880,432,300,{}
6028,6028,MER_LANCER02,槍傭兵２等級,34,2523,131,3,208,312,33,1,37,1,4,1,37,4,1,7,20,150,880,432,300,{}
6029,6029,MER_LANCER03,槍傭兵３等級,41,3397,161,3,248,372,36,5,45,1,22,1,40,6,1,7,20,150,880,432,300,{}
6030,6030,MER_LANCER04,槍傭兵４等級,55,4580,191,3,300,450,39,5,55,2,35,1,50,8,1,7,20,150,880,432,300,{}
6031,6031,MER_LANCER05,槍傭兵５等級,60,5899,221,3,350,510,42,10,65,2,39,1,60,10,1,7,20,150,880,432,300,{}
6032,6032,MER_LANCER06,槍傭兵６等級,72,7874,252,3,370,555,46,10,75,3,15,77,61,12,1,7,20,150,880,432,300,{}
6033,6033,MER_LANCER07,槍傭兵７等級,81,10260,330,3,380,570,50,15,85,3,63,20,61,14,1,7,20,150,880,432,300,{}
6034,6034,MER_LANCER08,槍傭兵８等級,90,13167,366,3,400,600,55,20,95,20,74,20,63,16,1,7,20,150,880,432,300,{}
6035,6035,MER_LANCER09,槍傭兵９等級,95,14648,398,3,440,660,60,25,100,25,77,25,63,18,1,7,20,150,880,432,300,{}
6036,6036,MER_LANCER10,槍傭兵10等級,99,18000,413,3,700,950,70,30,120,30,90,30,70,30,1,7,20,150,880,432,300,{}

6037,6037,MER_SWORDMAN01,剣傭兵１等級,20,502,70,1,174,261,26,0,21,27,5,1,30,3,1,7,20,150,880,432,300,{}
6038,6038,MER_SWORDMAN02,剣傭兵２等級,30,979,99,1,258,387,31,0,26,38,6,1,35,3,1,7,20,150,880,432,300,{}
6039,6039,MER_SWORDMAN03,剣傭兵３等級,40,1555,134,1,326,489,36,3,31,45,7,6,40,6,1,7,20,150,880,432,300,{}
6040,6040,MER_SWORDMAN04,剣傭兵４等級,50,2397,162,1,382,573,39,5,37,59,8,6,40,6,1,7,20,150,880,432,300,{}
6041,6041,MER_SWORDMAN05,剣傭兵５等級,60,3387,195,1,406,609,42,7,48,68,9,6,45,9,1,7,20,150,880,432,300,{}
6042,6042,MER_SWORDMAN06,剣傭兵６等級,70,4495,241,1,436,654,45,12,53,79,10,12,50,9,1,7,20,150,880,432,300,{}
6043,6043,MER_SWORDMAN07,剣傭兵７等級,80,5889,279,1,468,702,47,15,59,88,11,12,55,12,1,7,20,150,880,432,300,{}
6044,6044,MER_SWORDMAN08,剣傭兵８等級,90,7520,325,1,500,750,49,18,70,95,12,18,60,15,1,7,20,150,880,432,300,{}
6045,6045,MER_SWORDMAN09,剣傭兵９等級,95,9052,348,1,524,786,51,22,80,95,18,18,60,15,1,7,20,150,880,432,300,{}
6046,6046,MER_SWORDMAN10,剣傭兵10等級,99,12355,451,1,760,1040,64,30,99,105,30,30,60,30,1,7,20,150,880,432,300,{}
