//傭兵基本データ
//Class,ViewClass,Name,JName,Lv,HP,SP,Str,Agi,Vit,Int,Dex,Luk,[Rate->]Base,HP_max,HP_min,SP_max,SP_min,Str,Agi,Vit,Int,Dex,Luk,aspd,Size,Race,Element,Range,Limit,{merc_script}

6017,6017,ARCHER01,弓傭兵１等級,20,200,20,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,12,1800,{}
6018,6018,ARCHER02,弓傭兵２等級,30,300,30,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,12,1800,{}
6019,6019,ARCHER03,弓傭兵３等級,40,400,40,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,12,1800,{}
6020,6020,ARCHER04,弓傭兵４等級,50,500,50,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,12,1800,{}
6021,6021,ARCHER05,弓傭兵５等級,60,600,60,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,12,1800,{}
6022,6022,ARCHER06,弓傭兵６等級,70,700,70,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,12,1800,{}
6023,6023,ARCHER07,弓傭兵７等級,80,800,80,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,12,1800,{}
6024,6024,ARCHER08,弓傭兵８等級,90,900,90,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,12,1800,{}
6025,6025,ARCHER09,弓傭兵９等級,95,1000,100,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,12,1800,{}
6026,6026,ARCHER10,弓傭兵10等級,99,1200,120,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,12,1800,{}

6027,6027,LANCER01,槍傭兵１等級,20,200,20,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,3,1800,{}
6028,6028,LANCER02,槍傭兵２等級,30,300,30,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,3,1800,{}
6029,6029,LANCER03,槍傭兵３等級,40,400,40,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,3,1800,{}
6030,6030,LANCER04,槍傭兵４等級,50,500,50,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,3,1800,{}
6031,6031,LANCER05,槍傭兵５等級,60,600,60,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,3,1800,{}
6032,6032,LANCER06,槍傭兵６等級,70,700,70,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,3,1800,{}
6033,6033,LANCER07,槍傭兵７等級,80,800,80,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,3,1800,{}
6034,6034,LANCER08,槍傭兵８等級,90,900,90,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,3,1800,{}
6035,6035,LANCER09,槍傭兵９等級,95,1000,100,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,3,1800,{}
6036,6036,LANCER10,槍傭兵10等級,99,1200,120,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,3,1800,{}

6037,6037,SWORDMAN01,剣傭兵１等級,20,200,20,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,2,1800,{}
6038,6038,SWORDMAN02,剣傭兵２等級,30,300,30,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,2,1800,{}
6039,6039,SWORDMAN03,剣傭兵３等級,40,400,40,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,2,1800,{}
6040,6040,SWORDMAN04,剣傭兵４等級,50,500,50,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,2,1800,{}
6041,6041,SWORDMAN05,剣傭兵５等級,60,600,60,17,20,15,35,24,15,2,110,40,12,2,56,69,70,60,73,39,630,1,0,80,2,1800,{}
6042,6042,SWORDMAN06,剣傭兵６等級,70,700,70,22,17,35,11,23,16,2,150,70,4,1,84,65,60,8,58,38,640,1,0,80,2,1800,{}
6043,6043,SWORDMAN07,剣傭兵７等級,80,800,80,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,2,1800,{}
6044,6044,SWORDMAN08,剣傭兵８等級,90,900,90,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,2,1800,{}
6045,6045,SWORDMAN09,剣傭兵９等級,95,1000,100,29,35,9,8,30,10,2,75,45,6,3,67,83,11,59,62,38,600,1,0,80,2,1800,{}
6046,6046,SWORDMAN10,剣傭兵10等級,99,1200,120,11,11,11,11,11,11,3,150,30,8,0,81,71,67,69,69,30,670,1,0,80,2,1800,{}
